Default,checkingstatus1,duration,history,purpose,amount,savings,employ,installment,status,others,residence,property,age,otherplans,housing,cards,job,liable,tele,foreign
0,1,6,1,0,1169,1,1,4,0,0,4,1,67,0,0,2,0,1,1,0
1,2,48,0,0,5951,0,0,2,1,0,2,1,22,0,0,1,0,1,0,0
0,0,12,1,6,2096,0,2,2,0,0,3,1,49,0,0,1,1,2,0,0
0,1,42,0,2,7882,0,2,2,0,1,4,2,45,0,2,1,0,2,0,0
1,1,24,2,1,4870,0,0,3,0,0,4,3,53,0,2,2,0,2,0,0
0,0,36,0,6,9055,1,0,2,0,0,4,3,35,0,2,1,1,2,1,0
0,0,24,0,2,2835,3,1,3,0,0,4,2,53,0,0,1,0,1,0,0
0,2,36,0,3,6948,0,0,2,0,0,2,0,35,0,1,1,2,1,1,0
0,0,12,0,0,3059,4,2,2,3,0,4,1,61,0,0,1,1,1,0,0
1,2,30,1,1,5234,0,4,4,2,0,2,0,28,0,0,2,2,1,0,0
1,2,12,0,1,1295,0,3,3,1,0,1,0,25,0,1,1,0,1,0,0
1,1,48,0,4,4308,0,3,3,1,0,4,2,24,0,1,1,0,1,0,0
0,2,12,0,0,1567,0,0,1,1,0,1,0,22,0,0,1,0,1,1,0
1,1,24,1,1,1199,0,1,4,0,0,4,0,60,0,0,2,1,1,0,0
0,1,15,0,1,1403,0,0,2,1,0,4,0,28,0,1,1,0,1,0,0
1,1,24,0,0,1282,2,0,4,1,0,2,0,32,0,0,1,1,1,0,0
0,0,24,1,0,2424,1,1,4,0,0,4,2,53,0,0,2,0,1,0,0
0,1,30,4,4,8072,1,3,2,0,0,3,0,25,1,0,3,0,1,0,0
1,2,24,0,3,12579,0,1,4,1,0,2,3,44,0,2,1,2,1,1,0
0,0,24,0,0,3430,3,1,3,0,0,2,0,31,0,0,1,0,2,1,0
0,0,9,1,1,2134,0,0,4,0,0,4,0,48,0,0,3,0,1,1,0
0,1,6,0,0,2647,3,0,2,0,0,3,1,44,0,1,1,0,2,0,0
0,1,10,1,1,2241,0,3,1,0,0,3,1,48,0,1,2,1,2,0,1
0,2,12,1,3,1804,2,3,3,0,0,4,2,44,0,0,1,0,1,0,0
0,0,10,1,2,2069,1,0,2,2,0,1,0,26,0,0,2,0,1,0,1
0,1,6,0,2,1374,0,0,1,0,0,2,1,36,1,0,1,1,1,1,0
