seq,s3,s4,s5,s6,s7,s9,s11,s13,s14,s15,s16,s17,s18,s19a,s19b,s19c,s19d,s20,s23a,s24a,s25a,s26a,s27a,s30a,s30c,s31a,s31c,s32,s33,s34,s35,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,netw,uria,rtdum,bd,mi,old,vr,school,chval,dnotown,dprop
2,1,1,1,88,0,1120,0,1,5.0,0,1.0,53.0,8.0,,,,,1,1,0,19.0,19.0,0,1938,2000,2241,2000,939.0,110.0,0.0,30.0,0.0,0,34,2,5,0,22.1,22.1,3,360,,110.0,2,0,0,N,0,1,999999.4,92.0,3.9,0,1,1,1,0,15.0,206.7355,0,0
3,1,1,1,118,0,1120,0,1,5.0,1,2.0,51.0,8.0,,,,,1,0,0,3.0,1.0,0,2638,1642,2638,1642,1161.0,128.0,0.0,19.0,0.0,1,46,2,2,0,26.5,26.5,2,360,,128.0,2,1,0,N,0,0,999999.4,3.0,3.2,0,1,1,0,1,18.0,238.4943,0,0
7,1,1,1,185,0,1120,0,1,5.0,1,2.0,99.0,8.0,,,,,1,1,0,13.0,14.0,0,5000,2500,5600,2500,2011.0,196.0,0.0,24.0,0.0,1,24,2,1,0,24.8,37.2,2,360,,201.0,2,0,0,N,0,0,999999.4,22.0,3.2,0,1,1,1,0,12.0,200.1977,0,0
9,1,1,1,185,0,1120,0,1,5.0,1,2.0,110.0,1.0,,,,,1,1,2,3.0,3.0,0,7667,0,7667,0,1937.0,210.0,0.0,11.0,1.0,1,20,2,1,0,25.0,32.0,2,360,,215.0,2,1,0,N,0,0,1.0,241.0,4.3,0,0,1,0,1,12.0,193.8895,0,0
10,1,1,1,330,0,1120,0,1,5.0,1,2.0,129.0,0.0,,,,,1,1,1,17.0,11.0,0,6083,4250,6083,4250,3608.0,550.0,0.0,222.0,1.0,1,6,1,1,0,35.0,36.0,2,360,,550.0,2,0,0,N,0,0,2.0,365.0,3.2,0,0,1,1,0,20.0,257.0874,0,0
11,1,1,1,97,0,1120,0,1,5.0,1,2.0,65.0,1.0,,,,,1,1,0,10.0,2.0,0,5416,0,5416,0,940.0,190.0,0.0,26.0,1.0,1,15,1,1,0,17.0,24.0,2,360,,190.0,2,0,0,N,0,0,2.0,201.0,3.9,0,1,1,1,0,16.0,237.8392,0,0
12,1,1,1,56,0,1120,0,1,8.0,0,4.0,30.0,3.0,,,,,1,0,0,15.0,2.0,0,2507,0,2507,0,717.0,75.0,0.0,16.0,1.0,1,14,2,1,0,29.0,35.0,2,360,,75.0,1,0,0,Y,0,0,1.0,63.0,3.9,0,1,1,1,0,14.0,212.4823,0,0
14,1,1,1,187,0,1120,0,1,5.0,1,2.0,107.0,0.0,,,,,1,1,0,2.0,2.0,0,2625,6250,2625,6250,1964.0,218.0,0.0,29.0,1.0,1,32,2,2,0,22.0,28.0,1,360,,220.0,2,1,0,Y,0,0,2.0,67.0,1.8,0,1,1,0,0,16.0,197.7294,0,0
15,1,1,1,131,1,1120,0,1,5.0,1,2.0,69.0,0.0,,6.0,,,1,1,2,10.0,10.0,0,2500,3333,2500,3333,1387.0,146.0,0.0,15.0,1.0,1,9,2,2,0,24.0,31.0,2,360,,146.0,2,1,1,Y,0,1,2.0,42.0,3.1,0,1,1,0,0,12.0,213.4624,0,0
20,1,1,1,80,0,1120,0,1,5.0,0,1.0,72.0,3.0,,,,,1,0,1,6.0,1.0,0,2166,3167,2166,3167,882.0,219.0,0.0,183.0,1.0,1,20,1,2,0,17.0,18.0,2,360,,223.0,2,0,0,N,0,0,1.0,256.0,3.9,0,0,1,1,0,16.0,213.9908,0,0
21,1,1,1,30,0,1120,1,1,8.0,0,4.0,30.0,1.0,,,,,1,0,0,14.0,14.0,0,2500,0,2500,0,693.0,134.0,0.0,73.0,1.0,1,10,2,1,0,27.0,28.0,2,360,,134.0,1,0,0,N,0,0,1.0,51.0,3.1,0,0,0,0,1,14.0,900.002,0,0
23,1,1,1,155,0,1120,0,1,8.0,1,4.0,62.0,0.0,,,,,1,0,0,4.0,4.0,0,5208,0,5208,0,1582.0,215.0,0.0,50.0,1.0,1,12,2,1,0,30.0,31.0,2,360,,225.0,2,0,0,Y,0,0,5.0,-1.0,4.3,0,0,1,0,0,16.0,225.5325,0,0
24,1,1,1,100,1,1120,0,1,5.0,1,2.0,53.0,,,,,,1,1,4,11.0,2.0,0,2638,1019,2638,1019,1395.0,186.0,0.0,16.0,1.0,1,12,2,1,0,27.0,28.0,1,360,,186.0,2,1,1,N,0,1,2.0,32.0,4.3,0,0,1,0,0,18.0,203.6359,0,0
26,1,1,1,289,0,1120,0,1,5.0,1,2.0,116.0,0.0,,,,,1,1,1,14.0,26.0,0,4916,4185,4916,4185,3071.0,445.0,0.0,161.0,1.0,1,14,1,1,0,34.0,36.0,2,360,,445.0,2,0,0,N,0,0,1.0,395.0,10.6,0,1,1,1,0,18.0,285.2852,0,0
27,1,1,1,58,0,1120,0,1,5.0,1,2.0,54.0,0.0,,,,,1,1,0,8.0,0.6,0,2383,2138,2383,2138,699.0,160.0,0.0,31.0,1.0,1,13,1,1,0,15.0,18.0,1,360,,160.0,2,0,0,N,0,0,2.0,237.0,3.2,0,1,1,0,0,14.0,203.6794,0,0
28,1,1,1,130,0,1120,0,1,5.0,1,2.0,55.0,3.0,,,,,1,1,1,5.0,5.0,0,2493,2123,2493,2123,1267.0,156.0,0.0,33.0,1.0,1,14,1,2,0,27.0,36.0,1,360,,156.0,2,1,0,N,0,0,2.0,77.0,3.2,0,1,1,1,0,17.0,234.4846,0,0
29,1,1,1,180,0,1120,0,1,5.0,1,2.0,100.0,1.0,,,,,1,1,2,12.0,6.0,0,5250,2667,5667,2667,1873.0,273.0,0.0,251.0,1.0,1,10,1,1,0,22.0,23.0,2,360,,280.0,2,0,0,N,0,0,2.0,494.0,3.2,0,0,1,1,0,16.0,239.1944,0,0
30,1,1,1,70,0,1120,0,1,8.0,0,4.0,35.0,3.0,,,,,1,1,2,5.0,0.9,0,2917,0,2917,0,792.0,160.0,0.0,34.0,1.0,1,13,1,2,0,27.0,32.0,2,360,,160.0,2,0,0,N,0,0,1.0,358.0,3.2,0,1,1,1,1,14.0,235.7884,0,0
