occupancy,race,sex,income,married,credit_history,di_ratio,pmi_denied,unverifiable,pmi_sought,debt_to_expense,chpr,chcp,pmi_sought,vr
2,1,1,55.0,1,1,37.0,0,0,0,17.0,0,1,0,0
1,1,1,51.0,1,1,38.0,0,0,0,29.0,1,6,0,0
1,1,1,63.0,1,1,37.0,0,0,1,23.0,0,2,1,0
2,1,1,159.0,1,1,27.0,0,0,0,20.0,0,1,0,1
1,0,1,29.0,1,1,31.0,0,0,1,22.0,0,1,1,1
1,1,1,90.0,1,1,29.0,0,0,0,23.0,0,2,0,1
1,1,1,29.0,1,1,35.25,0,0,0,26.34,0,2,0,0
1,1,1,54.0,1,1,32.0,0,0,0,28.0,0,1,0,1
1,1,1,66.0,0,1,32.0,0,0,0,23.0,0,5,0,0
1,1,1,348.0,0,1,7.0,0,0,0,4.0,0,1,0,1
2,1,1,271.0,1,1,37.0,0,0,0,27.0,0,2,0,1
1,1,1,48.0,0,1,34.0,0,0,0,18.0,0,1,0,1
1,0,0,35.0,0,0,36.0,0,1,0,26.0,1,5,0,1
1,0,1,51.0,1,1,38.0,0,0,0,33.0,0,3,0,0
1,1,1,54.0,0,1,29.0,0,1,0,29.0,0,1,0,1
1,0,1,66.0,1,1,28.5,0,0,0,26.0,0,1,0,1
1,1,1,46.0,0,1,35.0,0,0,0,28.0,0,1,0,0
1,1,1,96.0,1,1,29.0,0,0,0,27.0,0,1,0,0
1,1,1,57.0,1,1,27.0,0,0,0,27.0,0,2,0,0
1,0,1,105.0,1,1,35.9,0,0,0,28.0,0,3,0,1
1,1,1,46.0,1,1,31.1,0,0,1,30.6,0,1,1,1
1,1,1,72.0,1,1,33.0,0,0,0,26.0,0,2,0,0
1,1,1,131.0,1,1,19.0,0,0,0,19.0,0,3,0,0
1,1,1,73.0,1,0,54.0,0,0,0,47.0,1,6,0,0
1,1,0,32.0,0,1,28.3,0,0,0,28.3,0,4,0,1
1,1,0,198.0,0,1,34.0,0,0,0,27.0,0,1,0,0
1,0,1,62.0,1,1,35.0,0,0,0,27.0,0,1,0,1
1,0,1,65.0,1,1,34.75,0,0,0,22.09,0,2,0,0
1,1,0,84.0,0,1,32.0,0,0,0,23.0,0,3,0,0
1,1,0,69.0,0,1,31.9,0,0,0,31.16,0,6,0,0
1,1,1,37.0,0,1,37.0,1,0,1,31.0,0,2,1,1
1,1,0,49.0,0,1,24.1,0,0,0,23.6,0,1,0,0
1,1,1,54.0,1,1,31.0,0,0,0,28.0,0,1,0,0
1,1,1,44.0,0,1,31.11,0,0,1,30.08,0,2,1,1
1,1,1,143.0,1,1,41.0,0,0,0,32.0,0,2,0,0
1,1,1,65.0,1,1,35.1,0,0,0,33.7,0,4,0,1
1,1,0,48.0,0,1,29.0,0,0,0,29.0,0,4,0,1
1,1,1,63.0,0,1,32.0,0,0,0,23.0,0,3,0,1
1,1,1,72.0,1,1,25.0,0,0,1,20.0,0,6,1,1
