,seq,s3,s4,s5,s6,s7,s9,s11,s13,s14,s15,s16,s17,s18,s19a,s19b,s19c,s19d,s20,s23a,s24a,s25a,s26a,s27a,s30a,s30c,s31a,s31c,s32,s33,s34,s35,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,netw,uria,rtdum,bd,mi,old,vr,school,chval,dnotown,dprop
0,2,1,1,1,88,1,1120,0,5,5.0,2,1.0,53.0,8.0,,,,,1.0,M,0,19.0,19.0,0,1938.0,2000.0,2241.0,2000.0,939.0,110.0,0.0,30.0,0.0,0,34.0,2,5,0,22.1,22.1,3,360.0,,110.0,2,0,0,N,0,1,999999.4,92.0,3.9,0,1,1,1,0,15.0,206.7355,0,0
1,3,1,1,1,118,1,1120,0,5,5.0,1,2.0,51.0,8.0,,,,,1.0,U,0,3.0,1.0,0,2638.0,1642.0,2638.0,1642.0,1161.0,128.0,0.0,19.0,0.0,1,46.0,2,2,0,26.5,26.5,2,360.0,,128.0,2,1,0,N,0,0,999999.4,3.0,3.2,0,1,1,0,1,18.0,238.4943,0,0
2,7,1,1,1,185,1,1120,0,5,5.0,1,2.0,99.0,8.0,,,,,1.0,M,0,13.0,14.0,0,5000.0,2500.0,5600.0,2500.0,2011.0,196.0,0.0,24.0,0.0,1,24.0,2,1,0,24.8,37.2,2,360.0,,201.0,2,0,0,N,0,0,999999.4,22.0,3.2,0,1,1,1,0,12.0,200.1977,0,0
3,9,1,1,1,185,1,1120,0,5,5.0,1,2.0,110.0,1.0,,,,,1.0,M,2,3.0,3.0,0,7667.0,0.0,7667.0,0.0,1937.0,210.0,0.0,11.0,1.0,1,20.0,2,1,0,25.0,32.0,2,360.0,,215.0,2,1,0,N,0,0,1.0,241.0,4.3,0,0,1,0,1,12.0,193.8895,0,0
4,10,1,1,1,330,1,1120,0,5,5.0,1,2.0,129.0,0.0,,,,,1.0,M,1,17.0,11.0,0,6083.0,4250.0,6083.0,4250.0,3608.0,550.0,0.0,222.0,1.0,1,6.0,1,1,0,35.0,36.0,2,360.0,,550.0,2,0,0,N,0,0,2.0,365.0,3.2,0,0,1,1,0,20.0,257.0874,0,0
5,11,1,1,1,97,1,1120,0,5,5.0,1,2.0,65.0,1.0,,,,,1.0,M,0,10.0,2.0,0,5416.0,0.0,5416.0,0.0,940.0,190.0,0.0,26.0,1.0,1,15.0,1,1,0,17.0,24.0,2,360.0,,190.0,2,0,0,N,0,0,2.0,201.0,3.9,0,1,1,1,0,16.0,237.8392,0,0
6,12,1,1,1,56,1,1120,0,5,8.0,2,4.0,30.0,3.0,,,,,1.0,U,0,15.0,2.0,0,2507.0,0.0,2507.0,0.0,717.0,75.0,0.0,16.0,1.0,1,14.0,2,1,0,29.0,35.0,2,360.0,,75.0,1,0,0,Y,0,0,1.0,63.0,3.9,0,1,1,1,0,14.0,212.4823,0,0
7,14,1,1,1,187,1,1120,0,5,5.0,1,2.0,107.0,0.0,,,,,1.0,M,0,2.0,2.0,0,2625.0,6250.0,2625.0,6250.0,1964.0,218.0,0.0,29.0,1.0,1,32.0,2,2,0,22.0,28.0,1,360.0,,220.0,2,1,0,Y,0,0,2.0,67.0,1.8,0,1,1,0,0,16.0,197.7294,0,0
8,15,1,1,1,131,3,1120,0,5,5.0,1,2.0,69.0,0.0,,6.0,,,1.0,M,2,10.0,10.0,0,2500.0,3333.0,2500.0,3333.0,1387.0,146.0,0.0,15.0,1.0,1,9.0,2,2,0,24.0,31.0,2,360.0,,146.0,2,1,1,Y,0,1,2.0,42.0,3.1,0,1,1,0,0,12.0,213.4624,0,0
9,20,1,1,1,80,1,1120,0,5,5.0,2,1.0,72.0,3.0,,,,,1.0,U,1,6.0,1.0,0,2166.0,3167.0,2166.0,3167.0,882.0,219.0,0.0,183.0,1.0,1,20.0,1,2,0,17.0,18.0,2,360.0,,223.0,2,0,0,N,0,0,1.0,256.0,3.9,0,0,1,1,0,16.0,213.9908,0,0
10,21,1,1,1,30,1,1120,1,5,8.0,2,4.0,30.0,1.0,,,,,1.0,U,0,14.0,14.0,0,2500.0,0.0,2500.0,0.0,693.0,134.0,0.0,73.0,1.0,1,10.0,2,1,0,27.0,28.0,2,360.0,,134.0,1,0,0,N,0,0,1.0,51.0,3.1,0,0,0,0,1,14.0,900.002,0,0
