price,year,age,beds,baths,home_size,parcel_size,pool,dist_cbd,dist_lakes,x_coord,y_coord
250412,2001,0,5,3.0,3217,11521,1,12351.12,4789.03,574225.4,1521524
195068,2000,4,4,3.0,2770,6199,1,18574.37,6745.57,527637.2,1470564
232224,2002,7,4,2.5,2191,11130,1,17519.73,420.27,499076.7,1486071
90481,2003,33,3,1.0,1025,8881,0,9970.23,774.06,565786.8,1541718
297092,2000,0,4,3.0,2790,14932,0,13298.67,531.99,493347.9,1517546
81010,2003,31,3,2.0,1390,10141,0,5513.35,363.16,527748.8,1514449
169957,2004,9,3,2.0,1861,6900,0,15440.84,129.4,484234.9,1528348
113089,2000,0,3,2.0,1310,6709,0,12201.3,283.94,513311.2,1564864
154656,2004,6,4,2.5,1862,3816,0,20582.59,5444.9,537139.1,1463586
210586,2001,10,4,2.0,2374,10153,1,22536.87,5608.79,515494.2,1459706
169500,2002,4,3,2.0,1838,6373,0,16965.49,228.58,479388.9,1525973
196931,2002,8,3,2.0,1912,9336,1,16719.39,668.28,480077.3,1527576
109862,2002,35,3,2.0,1335,7720,1,8889.03,1491.03,562254.4,1521131
267785,2004,0,5,3.0,3589,8050,0,18481.21,1524.19,577063.4,1487556
87129,2001,29,3,2.0,1131,8692,0,9939.03,1692.19,518796.5,1502694
276099,2002,0,4,3.0,3556,20201,1,14057.75,214.56,575836.2,1552255
165637,2001,0,3,2.0,1802,7202,0,19377.4,4616.8,517450.5,1469924
276543,2003,0,4,3.0,3114,9841,1,16791.13,308.33,479761.0,1529210
167485,2003,0,4,2.5,2809,7284,0,13044.07,770.98,499080.8,1554643
249842,2002,0,4,3.0,3198,10625,0,21410.02,170.35,466006.7,1516960
176149,2003,0,4,2.0,2114,11790,0,20558.19,184.85,600175.1,1547813
386369,2002,37,3,1.0,1935,53907,0,12644.6,4466.08,575275.2,1521737
209342,2004,24,3,2.0,1918,21466,0,12302.3,199.89,498930.7,1512632
120751,2001,20,4,2.0,1609,8073,0,9670.63,1412.67,561505.4,1548305
476181,2002,8,5,3.5,4570,16747,1,16051.76,243.9,485340.6,1513057
125376,2000,14,3,2.0,2002,10214,0,10462.81,239.27,542226.5,1497564
305463,2004,29,3,1.5,1651,6208,0,2039.96,148.68,537978.3,1525186
68285,2001,48,2,1.0,1062,10127,0,7842.54,945.9,526350.4,1506798
194887,2001,16,3,2.0,2268,30516,1,10865.31,3375.27,569039.3,1521010
